updateDate	line	rule	project	effort	type	cleanCodeAttribute	internalTags	issueStatus	flows	scope	key	severity	comments	author	fromSonarQubeUpdate	cleanCodeAttributeCategory	linkedTicketStatus	messageFormattings	impacts	message	creationDate	quickFixAvailable	tags	codeVariants	component	prioritizedRule	textRange	debt	hash	status
2026-04-01T14:52:14+0000	71.0	java:S6201	fr.cnes.sonar:cnesreport	5min	CODE_SMELL	CLEAR		OPEN	"{locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/report/exporters/docx/XWPFChartSpace.java, textRange={startLine=72.0, endLine=72.0, startOffset=46.0, endOffset=62.0}, msg=Location of the cast, msgFormattings=[]}]} / "	MAIN	a47b84d3-2b6c-47c2-8d80-c4e137886bb6	MINOR		46956548+sancretor@users.noreply.github.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Replace this instanceof check and cast with 'instanceof XWPFChart xwpfchart'	2022-05-04T07:58:50+0000	false	"java16 / "		fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/report/exporters/docx/XWPFChartSpace.java	false	{startLine=71.0, endLine=71.0, startOffset=16.0, endOffset=41.0}	5min	ea5b6f5a5c9fe2d2124d2b7dcb1a195e	OPEN
2026-04-01T14:52:14+0000	137.0	java:S1871	fr.cnes.sonar:cnesreport	10min	CODE_SMELL	DISTINCT		OPEN	"{locations=[{component=fr.cnes.sonar:cnesreport:src/test/ut/java/fr/cnes/sonar/report/exporters/data/PlaceHoldersTest.java, textRange={startLine=135.0, endLine=137.0, startOffset=59.0, endOffset=13.0}, msg=Original, msgFormattings=[]}]} / "	TEST	f612a711-3cec-4c1c-9e55-7925aed0562e	MAJOR		46956548+sancretor@users.noreply.github.com	false	ADAPTABLE	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	This branch's code block is the same as the block for the branch on line 135.	2022-01-31T10:20:07+0000	false	"design / suspicious / "		fr.cnes.sonar:cnesreport:src/test/ut/java/fr/cnes/sonar/report/exporters/data/PlaceHoldersTest.java	false	{startLine=137.0, endLine=139.0, startOffset=63.0, endOffset=13.0}	10min	c43cce3a37ec4006bc395508ba980b42	OPEN
2026-04-01T14:52:14+0000	39.0	java:S1854	fr.cnes.sonar:cnesreport	1min	CODE_SMELL	LOGICAL		OPEN		TEST	5eaad6b1-fc73-4a80-8494-551a5e7ccee6	MAJOR		46956548+sancretor@users.noreply.github.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	"Remove this useless assignment to local variable ""sortedItems""."	2022-01-19T13:39:26+0000	false	"cwe / cert / unused / "		fr.cnes.sonar:cnesreport:src/test/ut/java/fr/cnes/sonar/report/exporters/data/RuleComparatorTest.java	false	{startLine=39.0, endLine=39.0, startOffset=38.0, endOffset=55.0}	1min	85a2892440f3906f8b3adc61aa6b6ab3	OPEN
2026-04-01T14:52:14+0000	84.0	java:S1854	fr.cnes.sonar:cnesreport	1min	CODE_SMELL	LOGICAL		OPEN		TEST	602855e9-7cde-400c-a828-084ea2e26e34	MAJOR		46956548+sancretor@users.noreply.github.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	"Remove this useless assignment to local variable ""sortedItems""."	2022-01-19T13:39:26+0000	false	"cwe / cert / unused / "		fr.cnes.sonar:cnesreport:src/test/ut/java/fr/cnes/sonar/report/exporters/data/RuleComparatorTest.java	false	{startLine=84.0, endLine=84.0, startOffset=38.0, endOffset=55.0}	1min	85a2892440f3906f8b3adc61aa6b6ab3	OPEN
2026-04-01T14:52:14+0000	117.0	java:S1854	fr.cnes.sonar:cnesreport	1min	CODE_SMELL	LOGICAL		OPEN		TEST	a94514ff-8110-4113-8ff0-24edea5cd827	MAJOR		46956548+sancretor@users.noreply.github.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	"Remove this useless assignment to local variable ""sortedItems""."	2022-01-19T13:39:26+0000	false	"cwe / cert / unused / "		fr.cnes.sonar:cnesreport:src/test/ut/java/fr/cnes/sonar/report/exporters/data/RuleComparatorTest.java	false	{startLine=117.0, endLine=117.0, startOffset=38.0, endOffset=55.0}	1min	85a2892440f3906f8b3adc61aa6b6ab3	OPEN
2026-04-01T14:52:14+0000	160.0	java:S1854	fr.cnes.sonar:cnesreport	1min	CODE_SMELL	LOGICAL		OPEN		TEST	5ce1ed33-d661-4ec2-8895-0923e17256ec	MAJOR		46956548+sancretor@users.noreply.github.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	"Remove this useless assignment to local variable ""sortedItems""."	2022-01-19T13:39:26+0000	false	"cwe / cert / unused / "		fr.cnes.sonar:cnesreport:src/test/ut/java/fr/cnes/sonar/report/exporters/data/RuleComparatorTest.java	false	{startLine=160.0, endLine=160.0, startOffset=38.0, endOffset=55.0}	1min	85a2892440f3906f8b3adc61aa6b6ab3	OPEN
2026-04-01T14:52:14+0000	206.0	java:S1854	fr.cnes.sonar:cnesreport	1min	CODE_SMELL	LOGICAL		OPEN		TEST	92a0267a-6b93-42c1-a7da-85856ab7caf8	MAJOR		46956548+sancretor@users.noreply.github.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	"Remove this useless assignment to local variable ""sortedItems""."	2022-01-19T13:39:26+0000	false	"cwe / cert / unused / "		fr.cnes.sonar:cnesreport:src/test/ut/java/fr/cnes/sonar/report/exporters/data/RuleComparatorTest.java	false	{startLine=206.0, endLine=206.0, startOffset=38.0, endOffset=55.0}	1min	85a2892440f3906f8b3adc61aa6b6ab3	OPEN
2026-04-01T14:52:14+0000	82.0	java:S3776	fr.cnes.sonar:cnesreport	11min	CODE_SMELL	FOCUSED		OPEN	"{locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=139.0, endLine=139.0, startOffset=45.0, endOffset=46.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=142.0, endLine=142.0, startOffset=47.0, endOffset=48.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=146.0, endLine=146.0, startOffset=12.0, endOffset=14.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=150.0, endLine=150.0, startOffset=12.0, endOffset=14.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=154.0, endLine=154.0, startOffset=12.0, endOffset=14.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=166.0, endLine=166.0, startOffset=12.0, endOffset=14.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=166.0, endLine=166.0, startOffset=40.0, endOffset=42.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=166.0, endLine=166.0, startOffset=75.0, endOffset=77.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=169.0, endLine=169.0, startOffset=12.0, endOffset=14.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=169.0, endLine=169.0, startOffset=38.0, endOffset=40.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=169.0, endLine=169.0, startOffset=71.0, endOffset=73.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=172.0, endLine=172.0, startOffset=12.0, endOffset=14.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=172.0, endLine=172.0, startOffset=40.0, endOffset=42.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=172.0, endLine=172.0, startOffset=75.0, endOffset=77.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=175.0, endLine=175.0, startOffset=12.0, endOffset=14.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=175.0, endLine=175.0, startOffset=39.0, endOffset=41.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=175.0, endLine=175.0, startOffset=73.0, endOffset=75.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=178.0, endLine=178.0, startOffset=12.0, endOffset=14.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=178.0, endLine=178.0, startOffset=40.0, endOffset=42.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=178.0, endLine=178.0, startOffset=75.0, endOffset=77.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java, textRange={startLine=195.0, endLine=195.0, startOffset=10.0, endOffset=15.0}, msg=+1, msgFormattings=[]}]} / "	MAIN	dfb1f0ec-c643-40a5-af0d-769ea9357a28	CRITICAL		46956548+sancretor@users.noreply.github.com	false	ADAPTABLE	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=HIGH} / "	Refactor this method to reduce its Cognitive Complexity from 21 to the 15 allowed.	2022-01-05T17:07:45+0000	false	"brain-overload / "		fr.cnes.sonar:cnesreport:src/main/java/fr/cnes/sonar/plugin/ws/ExportTask.java	false	{startLine=82.0, endLine=82.0, startOffset=16.0, endOffset=22.0}	11min	474f33c2760c1e02cee87e0201ef74cc	OPEN
2026-04-01T14:52:14+0000	69.0	java:S117	fr.cnes.sonar:cnesreport	2min	CODE_SMELL	IDENTIFIABLE		OPEN		TEST	f1d50b0f-3d78-4a75-b8e9-f5456c254837	MINOR		46956548+sancretor@users.noreply.github.com	false	CONSISTENT	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.	2021-08-26T13:42:15+0000	false	"convention / "		fr.cnes.sonar:cnesreport:src/test/ut/java/fr/cnes/sonar/report/providers/project/AbstractProjectProviderTest.java	false	{startLine=69.0, endLine=69.0, startOffset=19.0, endOffset=35.0}	2min	54b42228e7aedb5a36c46af3ec0c3a29	OPEN
2026-04-01T14:52:14+0000	71.0	java:S117	fr.cnes.sonar:cnesreport	2min	CODE_SMELL	IDENTIFIABLE		OPEN		TEST	8aa178de-8592-4194-aa1e-895b3c9561d5	MINOR		46956548+sancretor@users.noreply.github.com	false	CONSISTENT	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.	2021-08-26T13:42:15+0000	false	"convention / "		fr.cnes.sonar:cnesreport:src/test/ut/java/fr/cnes/sonar/report/providers/project/AbstractProjectProviderTest.java	false	{startLine=71.0, endLine=71.0, startOffset=19.0, endOffset=35.0}	2min	617deaa2fa7332ed45dab49051a015d8	OPEN
